geotrust.com,Symantec Corporation
authorize.net,Authorize.Net LLC
seesaa.net,Seesaa Inc
cobaltnitra.com,The Cobalt Group
ntlworld.com,Virgin Media Ltd
imdb.com,IMDb.com, Inc.
skitch.com,Evernote Corporation
kqzyfj.com,Evernote Corporation
fetchback.com,eBay Inc.
kotaku.com,Kinja Kft.
shareaholic.com,Shareaholic Inc
fotki.com,Green Oak OU
gizmodo.com,Kinja Kft.
aufeminin.com,auFeminin.com SA
indeed.com,Indeed, Inc
activemeter.com,FoundPages
bloomberg.com,Bloomberg Finance L.P.
gamespy.com,ZIFF DAVIS, LLC.
rpxnow.com,Janrain Inc
hp.com,Hewlett-Packard Company
sun.com,Oracle Corporation
sevenload.com,ProSiebenSat.1 Digital GmbH
rockyou.com,Rockyou, Inc
honesty.com,VENDIO SERVICES, INC.
hittail.com,The Numa Group, LLC
nbc.com,NBCUniversal Media, LLC
trafficgate.net,LinkShare Japan K.K.
sciencedaily.com,ScienceDaily LLC
akamaitech.net,Akamai Technologies, inc.
oddcast.com,Oddcast, Inc.
channelintelligence.com,Google Inc.
pricegrabber.com,PriceGrabber
coxnewsweb.com,COXnet - Cox Newspapers, Inc.
bankrate.com,Bankrate
itsolexpert.com,Bankrate
msdn.com,Microsoft Corporation
friendfeed.com,Facebook, Inc.
evernote.com,Evernote Corporation
jimdo.com,Jimdo GmbH
fmpub.net,Domain Privacy Service FBO Registrant.
maploco.com,Funky Llama Productions LLC
bidvertiser.com,BPATH LTD
zopim.com,ZOPIM TECHNOLOGIES PTE LTD
barnesandnoble.com,barnesandnoble.com llc
xing.com,XING AG
clearspring.com,AddThis, Inc.
blogflux.com,Enthropia Inc
bestofmicro.com,Best Of Media
engadget.com,AOL Inc.
mlstatic.com,MercadoLibre, Inc.
onlineagency.com,levelfield.com, Inc.
marketwatch.com,Dow Jones & Company, Inc.
miarroba.com,Miarroba Networks, S.L.
clickability.com,FileBound Solutions, Inc.
mashable.com,Domains By Proxy, LLC
nocookie.net,Wikia, Inc.
biblegateway.com,The Zondervan Corporation L.L.C
x-traceur.com,Whois Privacy Corp.
list-manage.com,MailChimp
businessweek.com,Bloomberg L.P.
plista.com,plista GmbH
lycos.de,Lycos
ifrance.com,DIGITALVOX
marinsm.com,Marin Software
moostik.net,Marin Software
nypost.com,NYP Holdings, Inc.
msnbc.com,NBCUniversal Media, LLC
projectwonderful.com,Ryan North
ezinearticles.com,SparkNET Corporation
marketo.net,Marketo, Inc
admission.net,CDK Global, LLC.
lycos.es,Lycos
walmart.com,Wal-Mart Stores, Inc.
yahooapis.jp,Yahoo! Inc.
imingo.com,IMINGO SERVICES
weebly.com,WEEBLY, INC.
mixsh.com,AOL Inc.
seoparts.com,Whois Privacy Protection Service by VALUE-DOMAIN
flashvortex.com,Domains By Proxy, LLC
web.de,Web.com Group
ebuzzing.com,Teads ( Luxenbourg ) SA
convio.net,Blackbaud, Inc.
netdna-cdn.com,NetDNA, LLC.
163.com,Netease
atwola.com,AOL Inc.
mlive.com,Advance Digital Inc.
recherche-web.com,Rachais.com Création
netitor.com,CBS Interactive Inc.
openoffice.org,Apache Software Foundation
chicagotribune.com,Tribune Technology LLC
boingboing.net,Contact Privacy Inc. Customer 017334163
xanga.com,Privacy Protection Service INC d/b/a PrivacyProtect.org
worldnow.com,WorldNow
tickerfactory.com,Domains By Proxy, LLC
directupload.net,O'Real Associates Ltd.
netshelter.net,ZIFF DAVIS, LLC.
navy.mil,MNN Holding Company, LLC
contextweb.com,ContextWeb
alibaba.com,ContextWeb
canada.com,Postmedia Network Inc.
readwriteweb.com,SAY Media, Inc
cqcounter.com,Cybernet Quest
superfeedr.com,Cybernet Quest
btinternet.com,British Telecommunications plc
villagephotos.com,Ripside Interactive, Inc.
pbase.com,PBase.com
ask.com,Ask.com
twitterbuttons.com,WHOISGUARD, INC.
ref2000.com,Brioude Internet Referencement
imagecave.com,Domains By Proxy, LLC
treehugger.com,MNN Holding Company, LLC
nymag.com,New York MEDIA LLC
lijit.com,Domains By Proxy, LLC
replayphotos.com,Lulu Press, Inc.
freeweblogger.com,Lulu Press, Inc.
bigmir.net,UNITED ONLINE VENTURES LIMITED
heartrails.com,HEARTRAILS INC.
douban.com,Beijing Douwang Technology Co.
yfrog.com,ImageShack Corp
bitauto.com,Beijing Douwang Technology Co.
wedoo.com,Wedoonet Inc.
myflashfetish.com,WHOISGUARD, INC.
nola.com,Advance Digital Inc.
wiley.com,John Wiley & Sons, Inc
nerdtests.com,NerdTests.com
trackword.net,John Wiley & Sons, Inc
xbox.com,Microsoft Corporation
prweb.com,Cision US, Inc.
aatrk.com,Domains By Proxy, LLC
cobaltgroup.com,CDK Global, LLC.
bing.com,Microsoft Corporation
greenpeace.org,Stichting Greenpeace Council
expedia.com,Expedia, Inc
mortgage101.com,Internet Brands Inc.
oreilly.com,O'Reilly Media, Inc.
salesforce.com,salesforce.com
bstatic.com,Booking.com B.V.
unitedcountry.com,United Country Real Estate
coremetrics.com,International Business Machines (IBM)
clubic.com,M6 WEB
boldchat.com,LogMeIn, Inc.
webme.com,webme GmbH
with2.net,Whois Privacy Protection Service by onamae.com
java.com,Oracle Corporation
123compteur.com,GENE INFO
quizilla.com,Viacom International Inc.
feed2js.org,Contact Privacy Inc. Customer 0129903546
xinhuanet.com,xinhuanet
moreover.com,Moreover Technologies
cdbaby.com,Audio and Video Labs, Inc.
libstat.com,IDEALPES
art.com,Art.com, Inc.
adshuffle.com,HD Vest Management & Services, LLC
reverbnation.com,eMinor Inc
smartgb.com,INTERNETSERVICE AB
abcompteur.com,Webmaster Business (chez Workin Paris)
hopfeed.com,ClickBank
nature.com,Macmillan Publishers Limited
mediafire.com,MediaFire, LLC
myregisteredsite.com,Registeredsite Internet Services
adlink.net,Sedo Holding AG
rssinclude.com,Domains By Proxy, LLC
blingee.com,Domains By Proxy, LLC
squidoo.com,WHOISGUARD, INC.
stumble-upon.com,Stumbleupon Inc.
websnapr.com,construktiv GmbH
mozilla.com,Mozilla Corporation
4shared.com,New IT Solutions Ltd.
buzzfeed.com,Whois Privacy Protection Service, Inc.
myopera.com,Opera Software ASA
jotform.com,JotForm Inc
scene7.com,Adobe Systems Incorporated
custhelp.com,Oracle Corporation
nrelate.com,nRelate LLC
sfgate.com,The Hearst Corporation
pcworld.com,International Data Group, Inc.
nedstat.net,comScore, Inc
jdoqocy.com,ValueClick
thinkgeek.com,ThinkGeek, Inc.
blogranking.net,PAPERBOY AND CO.
awin1.com,Digital Window Ltd
economist.com,The Economist Newspaper Limited
google.com.au,Google Inc.
travelnow.com,Hotels.com
trackfeed.com,Digital Window Ltd
adage.com,CRAIN MANAGEMENT SERVICES INC.
celebritywonder.com,ZIFF DAVIS, LLC.
pulse360.com,Domains By Proxy, LLC
4gifs.com,Moniker Privacy Services
metmuseum.org,The Metropolitan Museum of Art
chango.com,The Metropolitan Museum of Art
schema.org,Google Inc.
baby-gaga.com,Valnet Inc.
ovh.org,OVH
bredband.net,B2 Bredband
stpt.com,Domains By Proxy, LLC
livescience.com,Purch
vodpod.com,Lockerz
gamestop.com,GameStop, Inc.
starpulse.com,Starpulse.com
cupid.com,Tradax IP Licensing Limited
freefind.com,FreeFind.com
christianitytoday.com,Christianity Today Intl.
anandtech.com,Purch
meredith.com,Meredith Corporation
zendesk.com,Zendesk
prisonplanet.com,Free Speech Systems
tophatenar.com,Kaisei Hamamoto
hi5.com,Tagged, Inc
izilinks.com,IZICO
cs.com,AOL Inc.
dtiserv.com,IDNM CO.
viddler.com,VIDDLER
ripway.com,AOL Inc.
guestworld.com,Lycos, Inc
secure-hotel-booking.com,SIRIONA SA
afpbb.com,Creative Link Corporation
corrigesduweb.com,SOS Enfants
e-planning.net,Teroa S.A.
cisco.com,Cisco Technology Inc.
